"id","english","vietnamese","note","module","boi_canh","vi_du"
"1472","Container","Container (hoặc Công-ten-nơ)","Một (A) thùng (box) kim loại (metal) lớn (large), tiêu chuẩn hóa (standardized) (thường (usually) là (is) 20 (20) hoặc (or) 40 (40) feet (feet)), dùng (used) để (to) vận chuyển (transport) hàng hóa (goods) (freight) hiệu quả (efficiently) qua (via) nhiều (multiple) phương thức (modes) (tàu (ship), xe (truck) tải (truck), tàu hỏa (train))","IOT","","Lô (The shipment) hàng (shipment) của (of) chúng tôi (our) được (was) xếp (loaded) đầy (full) vào (into) một (a) Container (Container) 40 (40) feet (feet) tại (at) cảng (port) Hải Phòng (Hai Phong) và (and) sẽ (will be) được (be) vận chuyển (shipped) bằng (by) tàu (sea) biển (sea) đến (to) Los Angeles (Los Angeles)."
"1473","Freight","Hàng hóa (vận tải) (Freight)","Hàng hóa (Goods) hoặc (or) sản phẩm (cargo) được (being) vận chuyển (transported) với (in) số lượng (bulk) lớn (large) bằng (by) xe (truck) tải (truck), tàu hỏa (train), tàu (ship) biển (sea), hoặc (or) máy bay (airplane)","IOT","","Xe (The truck) tải (truck) đó (that) đang (is) chở (carrying) Hàng hóa (Freight) (cargo) bao gồm (consisting of) 10 (10) kiện (pallets) pallet (pallets) máy móc (machinery)."
"1474","Intermodal","Vận tải đa phương thức (Intermodal)","Việc (The) vận chuyển (transportation) hàng hóa (freight) (thường (usually) là (is) trong (inside) một (a) "Container" (Container)) bằng (using) nhiều (multiple) phương thức (modes) vận tải (transport) (ví dụ: (e.g.) tàu hỏa (train) -> xe (truck) tải (truck)) mà (without) không (without) cần (needing) dỡ (unload) hàng hóa (goods) ra (out of) khỏi (of the) container (container)","IOT","","Vận tải đa phương thức (Intermodal) rất (is) hiệu quả (efficient): (efficient): container (container) được (was) dỡ (unloaded) khỏi (off the) tàu (ship) biển (sea), đặt (placed) lên (onto a) tàu hỏa (train), và (and) sau đó (then) được (was) chuyển (transferred) sang (to a) xe (truck) tải (truck) để (to) giao (deliver) hàng (delivery) chặng (leg) cuối (final)."
"1475","Third-Party Logistics (3PL)","Dịch vụ Logistics bên thứ ba (3PL)","Việc (The) một (a) công ty (company) thuê (outsources) ngoài (outsources) các (the) hoạt động (operations) logistics (logistics) (như (like) kho (warehousing) bãi (warehousing) và (and) vận (transportation) tải (transportation)) cho (to) một (a) công ty (provider) chuyên (specialized) nghiệp (specialized) khác (another)","IOT","","Thay vì (Instead of) tự (self-operating) vận hành (self-operating) kho (warehouse), công ty (company) chúng tôi (our) đã (hired) thuê (hired) một (a) nhà (provider) cung cấp (provider) Dịch vụ Logistics bên thứ ba (3PL) (như (like) DHL (DHL)) để (to) quản lý (manage) việc (the) lưu (storage) kho (storage) và (and) giao (delivery) hàng (delivery)."
"1476","Fourth-Party Logistics (4PL)","Dịch vụ Logistics bên thứ tư (4PL)","Một (A) mô hình (model) cao cấp (higher-level) hơn (than) 3PL (3PL); (a) một (a) nhà (provider) cung cấp (provider) 4PL (4PL) sẽ (will) quản lý (manage) toàn bộ (entire) chuỗi (supply) cung ứng (supply chain) (bao gồm (including) cả (both) các (the) nhà (providers) cung cấp (providers) 3PL (3PL) khác (other)) thay (on behalf of) mặt (on behalf of) khách hàng (client), tập trung (focusing on) vào (on) tối ưu hóa (optimization) và (and) chiến lược (strategy)","IOT","","Công ty (The corporation) tập đoàn (corporation) đã (hired) thuê (hired) một (a) nhà (provider) cung cấp (provider) Dịch vụ Logistics bên thứ tư (4PL); (a) nhà (provider) cung cấp (provider) này (this) không (does not) sở hữu (own) xe (trucks) tải (trucks) hay (or) nhà (warehouses) kho (warehouses), mà (instead) họ (they) quản lý (manage) các (the) nhà (providers) cung cấp (providers) 3PL (3PL) (DHL (DHL), FedEx (FedEx)) để (to) tối ưu hóa (optimize) toàn bộ (entire) chuỗi (supply) cung ứng (supply chain) của (of the) tập đoàn (corporation)."
"1477","Spectroscopy","Phổ học","Nghiên cứu về sự tương tác giữa vật chất (matter) và năng lượng bức xạ (electromagnetic radiation), được sử dụng để xác định cấu trúc hoặc thành phần hóa học của vật chất","IOT","","Kỹ thuật Phổ học (Spectroscopy) được sử dụng trong thiên văn học để xác định thành phần hóa học của các ngôi sao ở xa."
"1478","Near-Infrared (NIR) Spectroscopy","Phổ học cận hồng ngoại (NIR)","Một nhánh của phổ học sử dụng vùng ánh sáng cận hồng ngoại (từ 780 nm đến 2500 nm) để phân tích thành phần hóa học, đặc biệt hiệu quả trong việc phân tích thực phẩm, nông sản và dược phẩm","IOT","","Phổ học cận hồng ngoại (NIR Spectroscopy) giúp nông dân xác định nhanh hàm lượng protein và độ ẩm trong hạt ngũ cốc."
"1479","Gas Chromatography","Sắc ký khí","Một kỹ thuật phân tích hóa học dùng để tách (separate) và phân tích (analyze) các hợp chất dễ bay hơi (volatile compounds) trong một mẫu khí (gas sample)","IOT","","Sắc ký khí (Gas Chromatography) là công cụ chính để phân tích nồng độ cồn trong máu (BAC) hoặc xác định các chất gây cháy trong điều tra hỏa hoạn."
"1480","Liquid Chromatography","Sắc ký lỏng","Một kỹ thuật phân tích hóa học dùng để tách (separate) và phân tích (analyze) các hợp chất trong một mẫu lỏng (liquid sample), thường được sử dụng trong ngành dược phẩm và môi trường","IOT","","Sắc ký lỏng (Liquid Chromatography) được sử dụng để kiểm tra dư lượng thuốc trừ sâu (pesticides) trong các mẫu nước uống."
"1481","Mass Spectrometry","Phổ khối","Một kỹ thuật phân tích dùng để đo tỷ lệ khối lượng trên điện tích (mass-to-charge ratio) của các ion, giúp xác định khối lượng, công thức và cấu trúc phân tử của mẫu vật","IOT","","Sau khi tách các hợp chất bằng sắc ký, Phổ khối (Mass Spectrometry) được dùng để nhận dạng chính xác từng hợp chất đó."
"1482","Pellistor","Pellistor (Cảm biến xúc tác)","Một loại cảm biến khí (gas sensor) hoạt động dựa trên sự thay đổi nhiệt độ khi khí dễ cháy (flammable gas) được đốt cháy (oxidized) trên bề mặt xúc tác (catalytic surface)","IOT","","Cảm biến Pellistor được lắp đặt trong các hầm mỏ để phát hiện rò rỉ khí methane (CH4) gây cháy nổ."
"1483","Chemiresistor","Cảm biến hóa học trở kháng","Một loại cảm biến khí (gas sensor) hoạt động bằng cách đo sự thay đổi điện trở (electrical resistance) của vật liệu khi vật liệu đó hấp thụ các phân tử khí (gas molecules)","IOT","","Cảm biến hóa học trở kháng (Chemiresistor) thường được dùng trong các thiết bị đo chất lượng không khí (air quality monitors) để phát hiện khí độc hại."
"1484","Electrochemical Sensor","Cảm biến điện hóa","Một loại cảm biến khí (gas sensor) phản ứng với khí mục tiêu bằng phản ứng hóa học tạo ra tín hiệu điện (dòng điện hoặc điện áp)","IOT","","Cảm biến điện hóa (Electrochemical Sensor) là loại cảm biến tiêu chuẩn để đo nồng độ Carbon Monoxide (CO) trong nhà."
"1485","Biosensor","Cảm biến sinh học","Một thiết bị phân tích sử dụng một thành phần sinh học (biological component) (ví dụ: enzyme, kháng thể, DNA) để nhận dạng và đo lường một chất hóa học hoặc sinh học (analyte)","IOT","","Máy đo đường huyết (glucose meter) sử dụng Cảm biến sinh học (Biosensor) (dùng enzyme) để đo lượng đường trong máu."
"1486","Enzymatic Sensor","Cảm biến enzyme","Một loại cảm biến sinh học (biosensor) sử dụng enzyme làm thành phần nhận dạng (recognition element) để xúc tác cho một phản ứng hóa học tạo ra tín hiệu điện hoặc quang","IOT","","Cảm biến enzyme là thành phần cốt lõi trong các thiết bị phát hiện nồng độ chất gây ô nhiễm trong nước."
"1487","Optical Sensor","Cảm biến quang học","Một thiết bị chuyển đổi ánh sáng (light) (hoặc sự thay đổi của ánh sáng) thành tín hiệu điện; bao gồm photoresistor, photodiode, CCD, v.v.","IOT","","Cảm biến quang học (Optical Sensor) được sử dụng trong các hệ thống đếm sản phẩm trên dây chuyền lắp ráp; khi sản phẩm đi qua, nó làm gián đoạn chùm ánh sáng."
"1488","Photoresistor (LDR)","Quang trở (LDR)","Một loại cảm biến quang học có điện trở (resistance) thay đổi (thường giảm) khi cường độ ánh sáng chiếu vào nó tăng lên","IOT","","Quang trở (Photoresistor) thường được dùng trong đèn đường tự động; khi trời tối, điện trở tăng, kích hoạt đèn sáng."
"1489","Photodiode","Photodiode (Diode quang)","Một loại linh kiện bán dẫn (semiconductor) chuyển đổi ánh sáng thành dòng điện (photocurrent), hoạt động nhanh và nhạy hơn quang trở","IOT","","Photodiode được sử dụng trong điều khiển từ xa (remote control) để nhận tín hiệu ánh sáng hồng ngoại (IR) từ thiết bị điều khiển."
"1490","Phototransistor","Transistor quang","Tương tự photodiode, nhưng có độ khuếch đại (amplification) tín hiệu ánh sáng cao hơn, cho tín hiệu điện mạnh hơn","IOT","","Transistor quang (Phototransistor) thường được dùng trong các hệ thống an ninh và phát hiện vật thể cần độ nhạy sáng cao."
"1491","Charge-Coupled Device (CCD)","Thiết bị tích điện kép (CCD)","Một loại cảm biến hình ảnh (image sensor) chất lượng cao, chuyển đổi ánh sáng thành điện tích, là công nghệ tiêu chuẩn trong các máy ảnh kỹ thuật số và kính thiên văn","IOT","","Kính thiên văn Hubble sử dụng Thiết bị tích điện kép (CCD) để chụp những bức ảnh vũ trụ với độ chi tiết cao."
"1492","CMOS Sensor","Cảm biến CMOS","Một loại cảm biến hình ảnh (image sensor) phổ biến và giá thành rẻ hơn CCD, được sử dụng trong hầu hết các camera điện thoại thông minh và webcam","IOT","","Mặc dù chất lượng CCD có thể tốt hơn trong môi trường tối, Cảm biến CMOS (CMOS Sensor) được ưa chuộng vì tốc độ xử lý nhanh và tiêu thụ ít năng lượng hơn."
"1493","Acoustic Sensor","Cảm biến âm học","Một thiết bị chuyển đổi sóng âm thanh (sound waves) (hoặc rung động) thành tín hiệu điện","IOT","","Các cảm biến âm học (Acoustic Sensor) được sử dụng trong các hệ thống giám sát dầu khí để phát hiện rò rỉ (leaks) đường ống bằng cách lắng nghe tiếng rò rỉ."
"1494","Microphone","Micro","Một loại cảm biến âm học (acoustic sensor) chuyển đổi sóng áp suất âm thanh thành tín hiệu điện, được sử dụng để thu âm","IOT","","Micro là thiết bị cốt lõi trong các hệ thống nhận dạng giọng nói (voice recognition) và trợ lý ảo (virtual assistants)."
"1495","Piezoresistive","Áp điện trở","Tính chất của vật liệu mà điện trở (resistance) của nó thay đổi khi vật liệu đó bị biến dạng (strain) hoặc chịu áp lực cơ học","IOT","","Cảm biến áp suất (pressure sensors) trong lốp xe thường dựa trên nguyên lý Áp điện trở (Piezoresistive)."
"1496","Piezoelectric","Áp điện","Tính chất của vật liệu tạo ra điện áp (voltage) khi chịu áp lực cơ học, hoặc ngược lại, thay đổi hình dạng khi có điện áp tác động","IOT","","Công nghệ Áp điện (Piezoelectric) được sử dụng trong đầu phun mực (inkjet printer heads) để tạo ra các giọt mực nhỏ bằng cách thay đổi hình dạng tinh thể."
"1497","Hall Effect","Hiệu ứng Hall","Nguyên lý mà một điện áp (voltage) được tạo ra trên vật liệu dẫn điện khi nó được đặt trong một từ trường (magnetic field) vuông góc với dòng điện chạy qua","IOT","","Cảm biến Hiệu ứng Hall (Hall Effect) được sử dụng để đo dòng điện, tốc độ quay (rotational speed) hoặc vị trí (position) mà không cần tiếp xúc vật lý."
"1498","Magnetometer","Từ kế","Một thiết bị dùng để đo cường độ và/hoặc hướng của từ trường (magnetic field)","IOT","","Điện thoại thông minh sử dụng Từ kế (Magnetometer) để hoạt động như một la bàn (compass) kỹ thuật số."
"1499","Manometer","Áp kế","Một thiết bị dùng để đo áp suất (pressure) của chất lỏng hoặc khí, thường là áp suất vi sai (differential pressure) giữa hai điểm","IOT","","Các kỹ sư HVAC (Hệ thống thông gió, sưởi ấm và điều hòa không khí) sử dụng Áp kế (Manometer) để đo áp suất không khí trong các ống dẫn."
"1500","Barometer","Khí áp kế","Một thiết bị dùng để đo áp suất khí quyển (atmospheric pressure)","IOT","","Khí áp kế (Barometer) là công cụ quan trọng trong dự báo thời tiết; áp suất giảm thường báo hiệu một cơn bão đang đến."
"1501","Altimeter","Máy đo độ cao","Một thiết bị dùng để đo độ cao (altitude) so với một điểm cố định (thường là mặt nước biển) bằng cách đo áp suất khí quyển (Barometer) hoặc sử dụng GPS","IOT","","Máy bay sử dụng Máy đo độ cao (Altimeter) áp suất để xác định độ cao bay của mình."
"1502","Anemometer (Wind Speed)","Máy đo gió","Một thiết bị dùng để đo tốc độ (speed) hoặc vận tốc (velocity) của gió","IOT","","Máy đo gió (Anemometer) là thiết bị không thể thiếu trong các trạm thời tiết và trang trại điện gió."
"1503","Hygrometer (Humidity)","Ẩm kế","Một thiết bị dùng để đo độ ẩm (humidity) (lượng hơi nước) trong không khí, đất, hoặc trong các vật liệu khác","IOT","","Ẩm kế (Hygrometer) được sử dụng trong các phòng sạch (clean rooms) và phòng lưu trữ tài liệu để kiểm soát môi trường."
"1504","Psychrometer","Ẩm kế bầu ướt","Một loại ẩm kế (hygrometer) hoạt động bằng cách đo sự khác biệt nhiệt độ giữa hai nhiệt kế (thermometers), một cái khô (dry bulb) và một cái ướt (wet bulb), để suy ra độ ẩm","IOT","","Ẩm kế bầu ướt (Psychrometer) cung cấp phép đo độ ẩm chính xác hơn so với các loại ẩm kế đơn giản khác."
"1505","Tachometer (Rotational Speed)","Máy đo tốc độ quay","Một thiết bị dùng để đo tốc độ quay (rotational speed) của một trục (shaft) hoặc đĩa (disk), thường được đo bằng vòng trên phút (RPM)","IOT","","Máy đo tốc độ quay (Tachometer) trên bảng điều khiển xe ô tô cho biết tốc độ quay của động cơ."
"1506","Galvanometer","Điện kế","Một thiết bị dùng để phát hiện và đo dòng điện (electric current) nhỏ (small) hoặc điện áp (voltage) nhỏ (small)","IOT","","Điện kế (Galvanometer) thường được sử dụng trong các phòng thí nghiệm vật lý để đo lường dòng điện yếu."
"1507","Ammeter","Ampe kế","Một thiết bị dùng để đo cường độ dòng điện (electric current) trong một mạch điện, được mắc nối tiếp (in series) với mạch","IOT","","Ampe kế (Ammeter) cho biết có bao nhiêu Ampe điện đang chạy qua động cơ."
"1508","Voltmeter","Vôn kế","Một thiết bị dùng để đo điện áp (voltage) hoặc sự khác biệt tiềm năng (potential difference) giữa hai điểm trong một mạch điện, được mắc song song (in parallel) với mạch","IOT","","Vôn kế (Voltmeter) được sử dụng để kiểm tra xem pin (battery) còn đủ điện (voltage) hay không."
"1509","Ohmmeter","Ohm kế","Một thiết bị dùng để đo điện trở (electrical resistance) của một thành phần (component) hoặc mạch điện","IOT","","Kỹ thuật viên dùng Ohm kế (Ohmmeter) để kiểm tra xem cuộn dây (coil) của một động cơ có bị đứt (open circuit) hay không."
"1510","Wheatstone Bridge","Cầu Wheatstone","Một mạch điện dùng để đo điện trở (resistance) chưa biết bằng cách cân bằng (balancing) hai nhánh (legs) của một mạch cầu (bridge circuit)","IOT","","Cầu Wheatstone (Wheatstone Bridge) là thành phần cốt lõi trong nhiều cảm biến (như Strain Gauge, Load Cell) vì nó giúp chuyển đổi sự thay đổi điện trở nhỏ thành tín hiệu điện áp có thể đo được."
"1511","Calorimeter","Nhiệt lượng kế","Một thiết bị dùng để đo lượng nhiệt (heat) được hấp thụ hoặc tỏa ra trong một phản ứng hóa học hoặc thay đổi vật lý","IOT","","Các nhà khoa học sử dụng Nhiệt lượng kế (Calorimeter) để đo hàm lượng calo (calorie content) của thực phẩm bằng cách đốt cháy nó."
"1512","Dosimeter","Liều kế","Một thiết bị dùng để đo liều lượng (dose) tích lũy của bức xạ ion hóa (ionizing radiation) mà một người (hoặc vật) đã hấp thụ","IOT","","Nhân viên làm việc trong các cơ sở hạt nhân (nuclear facilities) phải đeo Liều kế (Dosimeter) để theo dõi mức độ phơi nhiễm bức xạ."
"1513","Geiger Counter","Máy đếm Geiger","Một thiết bị dùng để phát hiện và đo bức xạ ion hóa (ionizing radiation) (alpha, beta, gamma) dưới dạng các "tiếng tách" (clicks) rời rạc","IOT","","Máy đếm Geiger (Geiger Counter) là thiết bị di động phổ biến nhất để kiểm tra mức độ bức xạ trong môi trường."
"1514","Scintillation Counter","Máy đếm nhấp nháy","Một thiết bị dùng để phát hiện và đo bức xạ ion hóa (ionizing radiation) bằng cách sử dụng vật liệu phát sáng (scintillator) tạo ra ánh sáng (light) khi tương tác với bức xạ","IOT","","Máy đếm nhấp nháy (Scintillation Counter) có thể đo năng lượng của bức xạ (spectroscopy) tốt hơn so với Máy đếm Geiger."
"1515","Potentiostat","Máy đo điện thế","Một thiết bị điện tử dùng để kiểm soát (control) điện áp (voltage) giữa điện cực làm việc (working electrode) và điện cực tham chiếu (reference electrode) trong một tế bào điện hóa","IOT","","Máy đo điện thế (Potentiostat) là công cụ cơ bản trong nghiên cứu pin (battery) và cảm biến điện hóa (electrochemical sensors)."
"1516","Refractometer","Chiết quang kế","Một thiết bị dùng để đo chỉ số khúc xạ (refractive index) của một vật liệu (thường là chất lỏng), được sử dụng để xác định nồng độ của chất tan","IOT","","Chiết quang kế (Refractometer) được sử dụng trong ngành công nghiệp thực phẩm để đo nồng độ đường (Brix) trong nước trái cây."
"1517","Viscometer","Máy đo độ nhớt","Một thiết bị dùng để đo độ nhớt (viscosity) (độ đặc) của chất lỏng","IOT","","Máy đo độ nhớt (Viscometer) là thiết bị không thể thiếu trong kiểm soát chất lượng dầu nhớt (lubricants) và sơn (paints)."
"1518","Industrial Control System (ICS)","Hệ thống điều khiển công nghiệp","Thuật ngữ bao trùm cho các hệ thống dùng để điều khiển và giám sát các quy trình công nghiệp, bao gồm SCADA và PLC","IOT","","Hệ thống ICS của nhà máy điện giám sát và điều khiển toàn bộ lưới điện."
"1519","Supervisory Control and Data Acquisition (SCADA)","Hệ thống giám sát điều khiển và thu thập dữ liệu","Một hệ thống ICS cấp cao dùng để giám sát và điều khiển các quy trình trên một khu vực địa lý rộng, ví dụ: đường ống dẫn dầu, lưới điện","IOT","","Người vận hành sử dụng giao diện SCADA để mở một van ở trạm bơm cách xa 100km."
"1520","Programmable Logic Controller (PLC)","Bộ điều khiển logic khả trình","Một máy tính công nghiệp siêu bền, được dùng để tự động hóa các quy trình cụ thể như một cánh tay robot hoặc một dây chuyền đóng chai","IOT","","PLC nhận tín hiệu từ cảm biến nhiệt và quyết định bật/tắt lò nung."
"1521","Human-Machine Interface (HMI)","Giao diện Người-Máy","Màn hình, thường là cảm ứng, cho phép người vận hành tương tác, giám sát và điều khiển máy móc","IOT","","Công nhân nhấn nút "Dừng khẩn cấp" trên màn hình HMI khi phát hiện sự cố."
"1522","Purdue Model (Purdue Enterprise Reference Architecture)","Mô hình Purdue","Một mô hình kiến trúc mạng 6 lớp (0-5) kinh điển, dùng để phân đoạn và bảo mật các hệ thống OT khỏi mạng IT văn phòng","IOT","","Lớp 1 của mô hình Purdue chứa các PLC, trong khi Lớp 4 là mạng IT của doanh nghiệp."
"1523","Air Gap","Khe hở không khí","Một biện pháp bảo mật trong đó mạng OT được cách ly vật lý hoàn toàn với mạng IT và Internet, không có bất kỳ kết nối dây hoặc không dây nào","IOT","","Hệ thống điều khiển hạt nhân được bảo vệ bằng "Air Gap" để hacker không thể truy cập từ xa."
"1524","IT/OT Convergence","Hội tụ IT/OT","Xu hướng kết nối các hệ thống công nghệ thông tin (IT) truyền thống với các hệ thống công nghệ vận hành (OT) để tăng hiệu quả và phân tích dữ liệu","IOT","","Việc kết nối dữ liệu từ PLC (OT) lên hệ thống ERP (IT) là một ví dụ về IT/OT Convergence."
"1525","Safety Instrumented System (SIS)","Hệ thống an toàn có công cụ","Một hệ thống độc lập, có độ tin cậy cao, được thiết kế để đưa nhà máy về trạng thái an toàn khi có sự cố nghiêm trọng, khác với hệ thống điều khiển PLC thông thường","IOT","","Khi áp suất lò hơi vượt ngưỡng nguy hiểm, hệ thống SIS sẽ tự động ngắt lò, bất kể PLC."
"1526","IoT Endpoint","Điểm cuối IoT","Chỉ bất kỳ thiết bị IoT nào kết nối vào mạng, ví dụ: cảm biến, camera thông minh, đồng hồ đeo tay","IOT","","Bảo mật điểm cuối IoT là rất quan trọng vì đây là nơi dễ bị tấn công nhất."
"1527","Zero Trust Architecture (ZTA)","Kiến trúc Không tin cậy (Zero Trust)","Một mô hình bảo mật yêu cầu xác minh danh tính nghiêm ngặt cho mọi người và thiết bị, bất kể họ ở bên trong hay bên ngoài mạng. "Không bao giờ tin tưởng, luôn luôn xác minh"","IOT","","Trong mạng Zero Trust, một camera IoT không thể giao tiếp với máy tính xách tay trừ khi được cho phép rõ ràng."
"1528","Network Segmentation","Phân đoạn mạng","Hành động chia một mạng máy tính lớn thành các phân đoạn nhỏ hơn, cô lập để ngăn chặn sự lây lan của các cuộc tấn công","IOT","","Chúng tôi thực hiện phân đoạn mạng để tách riêng mạng camera an ninh (IoT) khỏi mạng nhân viên."
"1529","Firmware Over-The-Air (FOTA)","Cập nhật phần mềm lõi (Firmware) qua mạng","Khả năng cập nhật firmware của thiết bị IoT từ xa qua kết nối không dây để vá lỗi bảo mật mà không cần can thiệp vật lý","IOT","","Nhà sản xuất đã đẩy một bản vá FOTA khẩn cấp để sửa lỗ hổng bảo mật trên các ổ khóa thông minh."
"1530","Public Key Infrastructure (PKI)","Hạ tầng khóa công khai","Một hệ thống dùng để tạo, quản lý và xác thực các chứng chỉ kỹ thuật số, đảm bảo rằng các thiết bị giao tiếp với nhau là đáng tin cậy","IOT","","Mỗi cảm biến IoT sử dụng một chứng chỉ từ hệ thống PKI để xác thực danh tính khi gửi dữ liệu lên máy chủ."
"1531","Message Queuing Telemetry Transport (MQTT)","Giao thức truyền tải đo từ xa hàng đợi tin nhắn","Một giao thức nhắn tin publish/subscribe (xuất bản/đăng ký) siêu nhẹ, được thiết kế cho các thiết bị IoT có băng thông thấp và không ổn định","IOT","","Các cảm biến IoMT sử dụng MQTT để gửi dữ liệu nhịp tim về máy chủ một cách hiệu quả và tiết kiệm pin."
"1532","IoT Botnet","Mạng máy tính ma IoT","Một mạng lưới các thiết bị IoT bị xâm nhập (như camera, router) được điều khiển bởi một kẻ tấn công để thực hiện các cuộc tấn công, ví dụ như DDoS","IOT","","Botnet Mirai đã sử dụng hàng trăm ngàn camera IoT bị nhiễm mã độc để tấn công làm sập các trang web lớn."
"1533","Device Lifecycle Management","Quản lý vòng đời thiết bị","Quy trình quản lý toàn bộ vòng đời của một thiết bị IoT, từ lúc cấp phép, vận hành, cập nhật, cho đến khi ngừng hoạt động và thải loại một cách an toàn","IOT","","Quản lý vòng đời thiết bị đảm bảo rằng các cảm biến cũ, không còn được hỗ trợ sẽ được gỡ bỏ khỏi mạng."
"1534","IoMT (Internet of Medical Things)","Internet Vạn vật Y tế","Mạng lưới các thiết bị y tế, cảm biến, và ứng dụng chăm sóc sức khỏe được kết nối qua internet để thu thập, gửi và phân tích dữ liệu","IOT","","Máy đo đường huyết thông minh gửi kết quả trực tiếp đến điện thoại bác sĩ là một ứng dụng của IoMT."
"1535","Remote Patient Monitoring (RPM)","Giám sát bệnh nhân từ xa","Công nghệ cho phép nhà cung cấp dịch vụ y tế theo dõi các dấu hiệu sinh tồn và tình trạng sức khỏe của bệnh nhân từ một địa điểm khác","IOT","","Hệ thống RPM cảnh báo bác sĩ khi nhịp tim của bệnh nhân tại nhà có dấu hiệu bất thường."
"1536","Telehealth / Telemedicine","Khám chữa bệnh từ xa / Y tế từ xa","Việc sử dụng công nghệ viễn thông để cung cấp dịch vụ chăm sóc sức khỏe, tư vấn và khám bệnh từ xa","IOT","","Bệnh nhân có thể sử dụng Telehealth để tư vấn video với bác sĩ da liễu mà không cần đến phòng khám."
"1537","Wearable Device","Thiết bị đeo thông minh","Một thiết bị điện tử có thể đeo trên cơ thể như đồng hồ, vòng tay, miếng dán để theo dõi các hoạt động hoặc chỉ số sức khỏe","IOT","","Vòng đeo tay thông minh là một "wearable device" phổ biến để theo dõi bước chân và nhịp tim."
"1538","Fitness Tracker","Thiết bị theo dõi thể chất","Một loại thiết bị đeo chuyên dụng để theo dõi các hoạt động liên quan đến thể dục như số bước đi, quãng đường, calo tiêu thụ và giấc ngủ","IOT","","Tôi sử dụng Fitness Tracker để đảm bảo mình đi đủ 10.000 bước mỗi ngày."
"1539","Smartwatch","Đồng hồ thông minh","Đồng hồ đeo tay được vi tính hóa, ngoài chức năng xem giờ còn có thể chạy ứng dụng, nhận thông báo, và theo dõi sức khỏe","IOT","","Nhiều Smartwatch hiện đại có khả năng phát hiện té ngã và tự động gọi cấp cứu."
"1540","Electrocardiogram (ECG / EKG)","Điện tâm đồ","Một bài kiểm tra ghi lại hoạt động điện của tim. Nhiều thiết bị IoMT hiện đại có thể thực hiện ECG tại nhà","IOT","","Đồng hồ thông minh mới có thể đo ECG để phát hiện sớm chứng rung tâm nhĩ."
"1541","Electroencephalogram (EEG)","Điện não đồ","Một bài kiểm tra ghi lại hoạt động điện của não, thường dùng để chẩn đoán các rối loạn như động kinh hoặc các vấn đề về giấc ngủ","IOT","","Các thiết bị EEG đeo tại nhà đang được phát triển để theo dõi chất lượng giấc ngủ."
"1542","Electromyography (EMG)","Điện cơ đồ","Một kỹ thuật chẩn đoán để đánh giá sức khỏe của cơ và các tế bào thần kinh điều khiển chúng","IOT","","Cảm biến EMG trong thiết bị phục hồi chức năng giúp bệnh nhân tập luyện cơ bắp sau chấn thương."
"1543","Pulse Oximeter","Máy đo nồng độ oxy trong máu (SpO2)","Thiết bị y tế không xâm lấn dùng để đo độ bão hòa oxy trong máu và nhịp tim","IOT","","Trong thời kỳ dịch bệnh, Pulse Oximeter trở thành một thiết bị IoMT quan trọng tại nhà."
"1544","Blood Glucose Monitor","Máy đo đường huyết","Thiết bị dùng để đo nồng độ glucose (đường) trong máu, rất quan trọng cho bệnh nhân tiểu đường","IOT","","Máy đo đường huyết truyền thống yêu cầu lấy một giọt máu để kiểm tra."
"1545","Continuous Glucose Monitor (CGM)","Máy theo dõi đường huyết liên tục","Một thiết bị IoMT (thường là một cảm biến nhỏ dán dưới da) tự động theo dõi mức đường huyết 24/7","IOT","","Hệ thống CGM cảnh báo bệnh nhân ngay lập tức khi đường huyết của họ quá cao hoặc quá thấp."
"1546","Blood Pressure Monitor","Máy đo huyết áp","Thiết bị dùng để đo huyết áp, bao gồm huyết áp tâm thu và tâm trương","IOT","","Máy đo huyết áp thông minh có thể đồng bộ dữ liệu với ứng dụng sức khỏe trên điện thoại."
"1547","Smart Inhaler","Ống hít thông minh","Ống hít cho bệnh nhân hen suyễn được gắn cảm biến IoT để theo dõi thời gian, địa điểm và tần suất sử dụng thuốc","IOT","","Smart Inhaler giúp bác sĩ biết liệu bệnh nhân có tuân thủ đúng phác đồ điều trị hay không."
"1548","Smart Pill","Viên thuốc thông minh","Một viên thuốc có chứa cảm biến điện tử siêu nhỏ, khi được nuốt vào, nó sẽ gửi tín hiệu để xác nhận rằng bệnh nhân đã uống thuốc","IOT","","Smart Pill được dùng trong các thử nghiệm lâm sàng để đảm bảo người tham gia uống thuốc đúng giờ."
"1549","Digital Stethoscope","Ống nghe kỹ thuật số","Ống nghe có khả năng khuếch đại âm thanh, lọc tiếng ồn, và ghi lại âm thanh tim/phổi để phân tích hoặc chia sẻ từ xa","IOT","","Bác sĩ sử dụng Digital Stethoscope trong một buổi tư vấn Telemedicine để nghe nhịp tim của bệnh nhân."
"1550","Body Area Network (BAN)","Mạng khu vực cơ thể","Một mạng gồm nhiều thiết bị cảm biến thông minh được đeo, cấy ghép hoặc mang theo người, dùng để theo dõi các chức năng sinh lý","IOT","","Một hệ thống BAN có thể bao gồm cảm biến ECG, cảm biến SpO2 và cảm biến nhiệt độ cùng hoạt động."
